,Valor,Último,Var. %,Var.,Ac. % año,Máx.,Mín.,Vol.,Capit.,Hora,Unnamed: 10
0,ACCIONA,184700,148,270,745,184800,180800,80.199,10.132,31/03,
1,ACCIONA ENER,35760,205,72,-105,35780,34900,377.505,11.774,31/03,
2,ACERINOX,9474,72,7,560,9512,9390,695.261,2.563,31/03,
3,ACS,29350,69,20,1155,29490,29180,673.524,8.34,31/03,
4,AENA,148900,-3,-5,2694,149450,147000,378.472,22.335,31/03,
5,AMADEUS IT GROUP,61660,165,100,2700,61720,60040,1.055.895,27.778,31/03,
6,ARCELORMITTAL,27890,109,30,1342,27935,27460,189.600,24.482,31/03,
7,BANCO SABADELL,989,-210,-2,1226,1016,986,23.747.432,5.564,31/03,
8,BANKINTER,5226,-213,-11,-1516,5310,5156,4.605.452,4.697,31/03,
9,BBVA,6571,-73,-5,1663,6695,6543,16.781.784,41.967,31/03,
10,CAIXABANK,3584,-186,-7,-240,3665,3576,14.223.216,28.889,31/03,
11,CELLNEX TELECOM,35760,45,16,1565,36030,35410,1.133.462,24.293,31/03,
12,COLONIAL,5825,-102,-6,-308,5920,5775,1.619.502,3.143,31/03,
13,ENAGAS,17700,111,20,1401,17775,17470,970.171,4.637,31/03,
14,ENDESA,20000,134,26,1341,20040,19650,2.525.914,21.175,31/03,
15,FERROVIAL,27090,63,17,1071,27170,26960,956.694,19.981,31/03,
16,FLUIDRA,16190,75,12,1150,16440,16100,752.491,3.167,31/03,
17,GRIFOLS,9108,-46,-4,-1543,9224,9006,1.421.542,3.881,31/03,
18,IAG,1715,196,3,2337,1737,1711,14.235.234,8.529,31/03,
19,IBERDROLA,11485,70,8,682,11530,11375,10.118.593,74.036,31/03,
20,INDITEX,30900,185,56,2435,30930,30480,3.180.175,96.305,31/03,
21,INDRA,12450,-135,-17,1690,12710,12340,522.834,2.199,31/03,
22,LOGISTA,23000,-129,-30,127,23500,22960,167.262,3.053,31/03,
23,MAPFRE,1858,-54,-1,265,1883,1844,3.643.989,5.722,31/03,
24,MELIÁ HOTELS,5950,119,7,2997,5965,5850,985.042,1.311,31/03,
25,MERLIN PROP.,8060,19,2,-815,8100,7925,1.112.629,3.786,31/03,
26,NATURGY,27750,-75,-21,1415,27820,27320,264.590,26.907,31/03,
27,REDEIA,16200,93,15,123,16275,16030,1.359.247,8.765,31/03,
28,REPSOL,14185,-60,-9,-222,14360,14120,3.836.546,20.602,31/03,
29,ROVI,38480,-108,-42,671,39000,38160,159.074,2.079,31/03,
30,SACYR,2960,123,4,1634,2988,2948,2.339.845,1.973,31/03,
31,SANTANDER,3426,-75,-3,2225,3479,3421,48.042.576,56.371,31/03,
32,SOLARIA,16605,116,19,-301,16665,16160,608.455,2.075,31/03,
33,TELEFÓNICA,3973,38,2,1737,4020,3964,11.004.343,22.945,31/03,
34,UNICAJA BANCO,988,-159,-2,-417,1007,983,5.171.946,2.623,31/03,
