;Nombres;Valores
0;ACCIONA;184,7
1;ACCIONA ENER;35,76
2;ACERINOX;9,474
3;ACS;29,35
4;AENA;148,9
5;AMADEUS IT GROUP;61,66
6;ARCELORMITTAL;27,89
7;BANCO SABADELL;0,989
8;BANKINTER;5,226
9;BBVA;6,571
10;CAIXABANK;3,584
11;CELLNEX TELECOM;35,76
12;COLONIAL;5,825
13;ENAGAS;17,7
14;ENDESA;20
15;FERROVIAL;27,09
16;FLUIDRA;16,19
17;GRIFOLS;9,108
18;IAG;1,715
19;IBERDROLA;11,485
20;INDITEX;30,9
21;INDRA;12,45
22;LOGISTA;23
23;MAPFRE;1,858
24;MELIÁ HOTELS;5,95
25;MERLIN PROP.;8,06
26;NATURGY;27,75
27;REDEIA;16,2
28;REPSOL;14,185
29;ROVI;38,48
30;SACYR;2,96
31;SANTANDER;3,426
32;SOLARIA;16,605
33;TELEFÓNICA;3,973
34;UNICAJA BANCO;0,988
